Tasks,Details,Genre,Type,Quantity
Super Imposed Lines,https://drawabox.com/lesson/1/superimposedlines,Art,URL,1
Ghosted Lines,https://drawabox.com/lesson/1/ghostedlines,Art,URL,1
Ghosted Planes,https://drawabox.com/lesson/1/4,Art,URL,1
Tables of Ellipses,https://drawabox.com/lesson/1/tablesofellipses,Art,URL,1
Ellipses in Planes,https://drawabox.com/lesson/1/ellipsesinplanes,Art,URL,1
Funnels,https://drawabox.com/lesson/1/funnels,Art,URL,1
Rough Perspective,https://drawabox.com/lesson/1/roughperspective,Art,URL,1
Plotted Perspective,https://drawabox.com/lesson/1/plottedperspective,Art,URL,1
Rotated Boxes,https://drawabox.com/lesson/1/rotatedboxes,Art,URL,1
Organic Perspective Boxes,https://drawabox.com/lesson/1/organicperspective,Art,URL,1
Draw 10 Mannequins,Loomis Method,Art,URL,1
Quick Draw Gestures 2 mins,https://www.proko.com/course-lesson/quicksketch-assignment-examples-2-minute-poses/discussions,Art,URL,1
Bean,https://www.proko.com/course-lesson/how-to-simplify-the-motion-of-the-torso-the-bean/assignments,Art,URL,1
10 Boxes in 3D,https://drawabox.com/lesson/250boxes,Art,URL,1
10 Cylinders in 3D (Both types),https://drawabox.com/lesson/250cylinders,Art,URL,1
Texture Analysis,https://drawabox.com/lesson/2/textureanalysis,Art,URL,1
Dissections,https://drawabox.com/lesson/2/dissections,Art,URL,1
Organic Arrows,https://drawabox.com/lesson/2/organicarrows,Art,URL,1
Organic Arrows with Contour Lines,https://drawabox.com/lesson/2/contourlines,Art,URL,1
Form Intersections,https://drawabox.com/lesson/2/formintersections,Art,URL,1
Organic Intersections,https://drawabox.com/lesson/2/organicintersections,Art,URL,1
Leaves,https://drawabox.com/lesson/3/2/exerciseleaves,Art,URL,1
Branches,https://drawabox.com/lesson/3/2/exercisebranches,Art,URL,1
Warming Up Contours,Starting to Draw - Wendon Blake,Art,URL,1
Proportion Exercises,Starting to Draw - Wendon Blake,Art,URL,1
Perspective Excercises,Starting to Draw - Wendon Blake,Art,URL,1
3 Values,Starting to Draw - Wendon Blake,Stills,URL,1
Cubical Stills ,Starting to Draw - Wendon Blake,Stills,URL,1
Cylindrical Stills,Starting to Draw - Wendon Blake,Stills,URL,1
Rounded Stills,Starting to Draw - Wendon Blake,Stills,URL,1
Demonstration Stills,Starting to Draw - Wendon Blake,Stills,Collection,10
Kata,http://codekata.com/,Programming,Collection,21
LC,https://leetcode.com/problemset/all/,Programming,Collection,2585